unit_number,unit_name,latin_term,latin_genitive,part_of_speech,gender,english_translation,english_definition,german_translation,german_definition,slovak_translation,slovak_definition,notes
2,2nd O-declension,"parvus, parva, parvum",,Adjective,,small,,klein,,malý,,
2,2nd O-declension,per,,Preposition,,through,,durch,,cez,,Acc.
2,2nd O-declension,prō,,Preposition,,for,,für,,pre,,Abl.
2,2nd O-declension,"quārtus, quārta, quārtum",,Adjective,,fourth,,der vierte,,štvrtý,,
2,2nd O-declension,radius,radiī,Noun,masculine,radius,forearm bone,der Radius,,vretenná kosť,,
2,2nd O-declension,rāmus,rāmī,Noun,masculine,"branch (of nerve or vessel)",,der Ast,,vetva,,

3,3rd consonant declension,abdōmen,abdominīs,Noun,neuter,abdomen,,das Abdomen,,brucho,,
3,3rd consonant declension,abductor,abductoris,Noun,masculine,abductor,muscle drawing a part away from the middle line,der Abduktor,,abduktor,,
3,3rd consonant declension,adductor,adductoris,Noun,masculine,adductor,muscle drawing a part towards the median line,der Adduktor,,adduktor,,
3,3rd consonant declension,"adipōsus, adipōsa, adipōsum",,Adjective,,adipose / fatty,,fettig,,tukový,,
3,3rd consonant declension,"aliēnus, aliēna, aliēnum",,Adjective,,alien / strange,,fremd,,cudzí,,
3,3rd consonant declension,amputātiō,amputātiōnis,Noun,feminine,amputation,surgical removal of a limb or body part,die Amputation,,amputácia,,
3,3rd consonant declension,ānus,ānī,Noun,masculine,anus,inferior opening of the anal canal,der Anus,,anus,,
3,3rd consonant declension,apex,apicis,Noun,masculine,apex,tip of an organ with a pointed end,der Apex,,hrot,,
3,3rd consonant declension,"benignus, benigna, benignum",,Adjective,,benign / non-malignant,,gutartig,,nezhubný,,
3,3rd consonant declension,calcāneus,calcāneī,Noun,masculine,calcaneus,heel bone,der Calcaneus,,pätná kosť,,
3,3rd consonant declension,"calcāneus, calcānea, calcāneum",,Adjective,,calcaneal / heel,,kalkaneal,,pätový,,
3,3rd consonant declension,caput,capitis,Noun,neuter,head,,der Kopf,,hlava,,
3,3rd consonant declension,cartilāgō,cartilāginis,Noun,feminine,cartilage,,der Knorpel,,chrupavka,,
3,3rd consonant declension,cavitās,cavitātis,Noun,feminine,"cavity, hollow",,die Höhle,,dutina,,
3,3rd consonant declension,cervix,cervīcis,Noun,feminine,"1. neck 2. cervix",,der Hals / der Gebärmutterhals,,krk / krčok,,
3,3rd consonant declension,chīna,chīnae,Noun,feminine,quina,type of tropical tree,,die Chinarinde,,chína,,
3,3rd consonant declension,"compositus, composita, compositum",,Adjective,,composed,,zusammengesetzt,,zložený,,
3,3rd consonant declension,contūsiō,contūsiōnis,Noun,feminine,"contusion, bruise",,die Prellung,,pomliaždenie,,
3,3rd consonant declension,"contūsus, contūsa, contūsum",,Adjective,,bruised,,geprellt,,pomliaždený,,
3,3rd consonant declension,cor,cordis,Noun,neuter,heart,,das Herz,,srdce,,
3,3rd consonant declension,corpus,corporis,Noun,neuter,body,,der Körper,,telo,,
