atc_code,atc_name,parent_code,level
C08CX,Other selective calcium channel blockers with mainly vascular effects,C08C,4
C08DA,Phenylalkylamine derivatives,C08D,4
C08DB,Benzothiazepine derivatives,C08D,4
C08EA,Phenylalkylamine derivatives,C08E,4
C08EX,Other non-selective calcium channel blockers,C08E,4
C08GA,Calcium channel blockers and diuretics,C08G,4
C09AA,"ACE inhibitors, plain",C09A,4
C09BA,ACE inhibitors and diuretics,C09B,4
C09BB,ACE inhibitors and calcium channel blockers,C09B,4
C09BX,"ACE inhibitors, other combinations",C09B,4
C09CA,"Angiotensin II receptor blockers (ARBs), plain",C09C,4
C09DA,Angiotensin II receptor blockers (ARBs) and diuretics,C09D,4
C09DB,Angiotensin II receptor blockers (ARBs) and calcium channel blockers,C09D,4
C09DX,"Angiotensin II receptor blockers (ARBs), other combinations",C09D,4
C09XA,Renin-inhibitors,C09X,4
C10AA,HMG CoA reductase inhibitors,C10A,4
C10AB,Fibrates,C10A,4
C10AC,Bile acid sequestrants,C10A,4
C10AD,Nicotinic acid and derivatives,C10A,4
C10AX,Other lipid modifying agents,C10A,4
C10BA,Combinations of various lipid modifying agents,C10B,4
C10BX,Lipid modifying agents in combination with other drugs,C10B,4
D,DERMATOLOGICALS,,1
D01,ANTIFUNGALS FOR DERMATOLOGICAL USE,D,2
D02,EMOLLIENTS AND PROTECTIVES,D,2
D03,PREPARATIONS FOR TREATMENT OF WOUNDS AND ULCERS,D,2
D04,"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.",D,2
D05,ANTIPSORIATICS,D,2
D06,ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE,D,2
D07,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS",D,2
D08,ANTISEPTICS AND DISINFECTANTS,D,2
D09,MEDICATED DRESSINGS,D,2
D10,ANTI-ACNE PREPARATIONS,D,2
D11,OTHER DERMATOLOGICAL PREPARATIONS,D,2
D01A,ANTIFUNGALS FOR TOPICAL USE,D01,3
D01B,ANTIFUNGALS FOR SYSTEMIC USE,D01,3
D02A,EMOLLIENTS AND PROTECTIVES,D02,3
D02B,PROTECTIVES AGAINST UV-RADIATION,D02,3
D03A,CICATRIZANTS,D03,3
D03B,ENZYMES,D03,3
D04A,"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.",D04,3
D05A,ANTIPSORIATICS FOR TOPICAL USE,D05,3
D05B,ANTIPSORIATICS FOR SYSTEMIC USE,D05,3
D06A,ANTIBIOTICS FOR TOPICAL USE,D06,3
D06B,CHEMOTHERAPEUTICS FOR TOPICAL USE,D06,3
D06C,"ANTIBIOTICS AND CHEMOTHERAPEUTICS, COMBINATIONS",D06,3
D07A,"CORTICOSTEROIDS, PLAIN",D07,3
D07B,"CORTICOSTEROIDS, COMBINATIONS WITH ANTISEPTICS",D07,3
